               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.040403,            0.018852,            0.036733,             0.24198,             0.59839,              0.3457,             0.22505,            0.010577,           0.0027952,            0.012746,            0.070055,           0.0033272,           0.0033272
                   1,            0.026632,            0.011574,            0.030646,             0.34449,             0.70475,              0.4555,              0.2214,            0.013161,           0.0023493,            0.010227,            0.039924,           0.0065286,           0.0065286
                   2,            0.025181,            0.010831,            0.025942,             0.50686,             0.48255,             0.53588,             0.28678,            0.013277,           0.0043449,           0.0090086,           0.0096597,           0.0095981,           0.0095981
                   3,            0.023111,            0.010352,            0.022387,             0.82471,             0.79852,             0.89752,             0.63622,           0.0075866,           0.0029612,             0.00446,            0.009406,            0.009406,            0.009406
                   4,            0.020633,            0.010071,            0.019597,             0.82799,             0.90862,             0.94653,             0.72487,           0.0064168,           0.0025594,           0.0041009,            0.009406,            0.009406,            0.009406
                   5,            0.019515,           0.0097933,            0.018812,              0.8451,              0.8991,             0.94917,              0.6863,           0.0068273,           0.0021472,           0.0032092,            0.009208,            0.009208,            0.009208
                   6,              0.0186,           0.0095591,            0.017762,             0.89249,             0.92733,             0.95656,             0.69901,           0.0066348,           0.0021654,           0.0023154,             0.00901,             0.00901,             0.00901
                   7,             0.01792,           0.0095852,             0.01625,              0.8864,             0.93006,             0.94936,              0.7572,           0.0052926,           0.0021022,           0.0024252,            0.008812,            0.008812,            0.008812
                   8,            0.016102,           0.0092185,            0.014749,             0.90984,             0.93131,             0.96288,             0.73845,           0.0057294,           0.0021219,            0.002163,            0.008614,            0.008614,            0.008614
                   9,            0.016584,            0.009246,            0.014742,             0.88982,             0.95728,             0.96229,             0.79188,           0.0050135,           0.0020015,           0.0020957,            0.008416,            0.008416,            0.008416
                  10,            0.016989,           0.0089967,            0.015055,             0.92364,             0.95363,             0.96682,                0.79,           0.0047032,            0.001982,            0.001938,            0.008218,            0.008218,            0.008218
                  11,            0.016378,           0.0089611,            0.014369,             0.94196,             0.91982,             0.97035,             0.76602,           0.0055757,           0.0019941,           0.0018202,             0.00802,             0.00802,             0.00802
                  12,            0.015751,           0.0090134,            0.013753,             0.91891,             0.96847,             0.96983,             0.79713,           0.0048188,           0.0019757,           0.0015451,            0.007822,            0.007822,            0.007822
                  13,             0.01538,           0.0089666,             0.01411,             0.92548,             0.94522,             0.97246,             0.80613,           0.0046136,           0.0018763,           0.0017868,            0.007624,            0.007624,            0.007624
                  14,            0.015322,           0.0087604,            0.013425,             0.90351,             0.95898,             0.97084,             0.80858,           0.0045995,           0.0019523,           0.0017548,            0.007426,            0.007426,            0.007426
                  15,            0.014874,            0.008852,             0.01276,             0.94798,             0.96922,             0.97984,             0.81746,           0.0046208,           0.0019262,          0.00095378,            0.007228,            0.007228,            0.007228
                  16,            0.014653,           0.0087185,            0.012533,              0.9061,             0.95777,             0.94987,             0.79505,           0.0043906,           0.0018554,           0.0018749,             0.00703,             0.00703,             0.00703
                  17,            0.014539,           0.0086659,            0.012431,             0.93196,             0.96725,             0.97466,              0.8132,           0.0047973,           0.0018287,            0.001363,            0.006832,            0.006832,            0.006832
                  18,            0.014333,           0.0085691,            0.011795,             0.90327,             0.94592,             0.96494,             0.80869,           0.0046902,           0.0019176,           0.0018445,            0.006634,            0.006634,            0.006634
                  19,            0.014238,           0.0085138,            0.011854,             0.89701,             0.96651,             0.97708,             0.82869,           0.0043943,           0.0018875,           0.0014249,            0.006436,            0.006436,            0.006436
                  20,            0.014271,           0.0086018,            0.012199,             0.93947,             0.92998,             0.98021,             0.81541,           0.0048466,           0.0018699,           0.0015341,            0.006238,            0.006238,            0.006238
                  21,            0.014245,           0.0085695,            0.010733,             0.90762,             0.95131,             0.96405,             0.81845,           0.0043788,           0.0018429,           0.0015934,             0.00604,             0.00604,             0.00604
                  22,            0.013652,           0.0084272,            0.011272,             0.93422,             0.97344,             0.97732,             0.83186,           0.0043212,           0.0018105,           0.0009016,            0.005842,            0.005842,            0.005842
                  23,            0.013857,           0.0084112,            0.010885,             0.94086,             0.97493,             0.97992,             0.82161,           0.0045157,           0.0018269,          0.00087702,            0.005644,            0.005644,            0.005644
                  24,            0.014161,            0.008334,            0.010397,             0.94462,             0.98413,             0.97784,             0.81695,           0.0045209,           0.0018632,          0.00089646,            0.005446,            0.005446,            0.005446
                  25,             0.01378,           0.0086776,            0.011379,             0.94006,              0.9692,              0.9787,             0.83221,           0.0043332,           0.0018969,            0.001035,            0.005248,            0.005248,            0.005248
                  26,            0.013592,           0.0084542,            0.010272,             0.92243,             0.96904,             0.96302,             0.83119,           0.0040255,           0.0017353,           0.0014658,             0.00505,             0.00505,             0.00505
                  27,            0.013551,           0.0083243,            0.010667,             0.94429,             0.95418,             0.97761,             0.82911,           0.0041308,           0.0017174,          0.00084921,            0.004852,            0.004852,            0.004852
                  28,            0.013373,           0.0082405,           0.0092666,             0.94701,             0.97106,             0.98528,              0.8427,           0.0042538,           0.0017663,          0.00063126,            0.004654,            0.004654,            0.004654
                  29,            0.013093,           0.0081657,            0.010387,             0.94189,             0.96623,             0.97601,              0.8356,           0.0041603,           0.0018857,          0.00078456,            0.004456,            0.004456,            0.004456
                  30,            0.012977,           0.0082293,            0.009646,             0.95236,             0.98275,             0.98401,              0.8478,           0.0039322,           0.0017626,          0.00056753,            0.004258,            0.004258,            0.004258
                  31,            0.013089,           0.0083084,           0.0095282,             0.95896,             0.96956,             0.98365,              0.8413,           0.0040782,           0.0017614,          0.00062669,             0.00406,             0.00406,             0.00406
                  32,            0.012691,           0.0080813,           0.0094998,             0.95709,             0.97225,             0.97891,             0.85266,           0.0037902,           0.0017261,          0.00064712,            0.003862,            0.003862,            0.003862
                  33,            0.012577,           0.0080671,           0.0089793,              0.9307,              0.9811,             0.97051,             0.84228,           0.0039402,           0.0016988,           0.0008363,            0.003664,            0.003664,            0.003664
                  34,            0.012438,           0.0079528,           0.0095525,             0.95229,             0.98677,             0.97777,             0.83858,           0.0040506,           0.0017782,          0.00089032,            0.003466,            0.003466,            0.003466
                  35,            0.011925,            0.007864,           0.0085645,             0.96453,             0.99041,             0.98421,             0.85205,           0.0039775,           0.0017192,           0.0003328,            0.003268,            0.003268,            0.003268
                  36,            0.012124,           0.0081068,           0.0087565,             0.93437,             0.98738,             0.97838,             0.85003,           0.0039546,           0.0017902,           0.0007099,             0.00307,             0.00307,             0.00307
                  37,            0.012338,           0.0081201,           0.0082586,             0.93901,             0.98626,             0.98062,             0.85699,           0.0037958,           0.0016899,          0.00046557,            0.002872,            0.002872,            0.002872
                  38,            0.012202,           0.0079744,           0.0084929,             0.95441,              0.9874,             0.97952,             0.85263,           0.0039033,           0.0017659,          0.00040309,            0.002674,            0.002674,            0.002674
                  39,            0.011498,           0.0078434,            0.007655,             0.96625,             0.97524,             0.98574,             0.85955,           0.0038554,           0.0017185,          0.00051115,            0.002476,            0.002476,            0.002476
                  40,            0.011764,           0.0077717,            0.007947,             0.96229,             0.98106,             0.98372,             0.84912,           0.0039478,           0.0017725,          0.00038124,            0.002278,            0.002278,            0.002278
                  41,            0.011484,           0.0078049,            0.007989,             0.95335,             0.98167,             0.97757,             0.84857,           0.0038499,           0.0017497,          0.00053643,             0.00208,             0.00208,             0.00208
                  42,            0.011744,           0.0079288,           0.0078359,             0.96474,             0.98694,             0.98196,              0.8555,           0.0038633,             0.00172,          0.00033675,            0.001882,            0.001882,            0.001882
                  43,            0.011138,            0.007936,           0.0075231,             0.95409,             0.98784,             0.97779,             0.85485,           0.0038062,           0.0017056,          0.00048439,            0.001684,            0.001684,            0.001684
                  44,            0.011648,           0.0080247,           0.0074376,             0.95025,             0.97091,             0.97831,             0.85347,           0.0037907,           0.0017627,          0.00064767,            0.001486,            0.001486,            0.001486
                  45,            0.011266,           0.0078422,           0.0075503,             0.96063,             0.99201,             0.98155,             0.86002,           0.0038336,           0.0017246,          0.00030366,            0.001288,            0.001288,            0.001288
                  46,            0.010837,           0.0077918,           0.0067049,             0.95871,             0.98198,             0.98525,             0.86149,           0.0038028,           0.0017222,          0.00034955,             0.00109,             0.00109,             0.00109
                  47,            0.010801,           0.0076755,           0.0063725,             0.95382,             0.99389,             0.98504,             0.86648,           0.0038055,           0.0017108,          0.00029965,            0.000892,            0.000892,            0.000892
                  48,            0.011212,           0.0077832,           0.0066712,             0.95465,             0.99395,               0.981,             0.86394,           0.0038013,           0.0016846,          0.00038861,            0.000694,            0.000694,            0.000694
                  49,            0.010761,           0.0076833,           0.0065175,             0.93447,             0.99864,             0.98414,             0.86558,            0.003771,           0.0017018,          0.00034359,            0.000496,            0.000496,            0.000496
